Order_ID,Date,Product,Category,Region,Quantity,Price,Discount,Customer_Rating,Total_Sales
1001,2025-01-01,Shoes,Electronics,North,4,19101,32,2,51954.72
1002,2025-01-02,Watch,Electronics,South,1,5467,14,1,4701.62
1003,2025-01-03,Headphones,Accessories,West,9,19253,11,5,154216.53
1004,2025-01-04,Watch,Fashion,East,6,20522,39,3,75110.51999999999
1005,2025-01-05,Watch,Electronics,West,1,43963,19,5,35610.03
1006,2025-01-06,Mobile,Accessories,North,1,9635,29,3,6840.85
1007,2025-01-07,Headphones,Fashion,West,6,6222,37,4,23519.16
1008,2025-01-08,Headphones,Electronics,East,4,27913,2,2,109418.96
1009,2025-01-09,Headphones,Fashion,West,4,27736,27,4,80989.12
1010,2025-01-10,Watch,Accessories,North,6,16014,25,3,72063.0
1011,2025-01-11,Shoes,Electronics,South,7,44396,29,3,220648.12
1012,2025-01-12,Headphones,Fashion,West,9,37712,12,3,298679.04
1013,2025-01-13,Watch,Electronics,North,5,40886,12,1,179898.4
1014,2025-01-14,Mobile,Fashion,North,9,20831,1,2,185604.21
1015,2025-01-15,Shoes,Accessories,East,4,18560,36,4,47513.6
1016,2025-01-16,Mobile,Accessories,East,2,1696,37,4,2136.96
1017,2025-01-17,Shoes,Electronics,West,3,12797,1,5,38007.09
1018,2025-01-18,Watch,Fashion,South,1,3287,35,3,2136.55
1019,2025-01-19,Laptop,Electronics,North,6,24316,25,3,109422.0
1020,2025-01-20,Shoes,Electronics,West,6,41195,10,3,222453.0
1021,2025-01-21,Mobile,Fashion,North,1,20202,7,4,18787.86
1022,2025-01-22,Watch,Fashion,North,3,25742,39,5,47107.86
1023,2025-01-23,Shoes,Fashion,South,5,2676,21,1,10570.2
1024,2025-01-24,Laptop,Accessories,South,3,20627,19,2,50123.61
1025,2025-01-25,Laptop,Electronics,West,3,42060,7,1,117347.4
1026,2025-01-26,Headphones,Electronics,South,3,27728,28,4,59892.479999999996
1027,2025-01-27,Headphones,Accessories,South,5,20708,39,3,63159.4
1028,2025-01-28,Mobile,Fashion,West,5,28982,25,2,108682.5
1029,2025-01-29,Shoes,Accessories,South,4,9671,29,4,27465.64
1030,2025-01-30,Shoes,Accessories,East,1,35719,16,4,30003.96
1031,2025-01-31,Headphones,Accessories,North,5,33896,19,4,137278.8
1032,2025-02-01,Shoes,Electronics,North,5,43089,15,2,183128.25
1033,2025-02-02,Shoes,Accessories,North,4,41046,6,2,154332.96
1034,2025-02-03,Laptop,Electronics,North,6,4196,15,5,21399.6
1035,2025-02-04,Headphones,Electronics,West,4,20558,26,5,60851.68
1036,2025-02-05,Watch,Electronics,North,7,20813,22,1,113638.98
1037,2025-02-06,Headphones,Fashion,North,7,19649,23,2,105908.11
1038,2025-02-07,Watch,Electronics,North,2,46240,8,2,85081.6
1039,2025-02-08,Laptop,Electronics,North,3,41575,34,2,82318.5
1040,2025-02-09,Mobile,Fashion,East,1,5456,19,5,4419.36
1041,2025-02-10,Shoes,Electronics,North,8,10695,36,4,54758.4
1042,2025-02-11,Laptop,Accessories,East,9,17576,16,3,132874.56
1043,2025-02-12,Shoes,Accessories,West,4,1605,30,5,4494.0
1044,2025-02-13,Mobile,Electronics,South,6,15917,7,2,88816.86
1045,2025-02-14,Mobile,Fashion,North,9,25229,14,5,195272.46
1046,2025-02-15,Laptop,Accessories,South,6,47456,30,1,199315.2
1047,2025-02-16,Mobile,Fashion,South,9,30599,29,2,195527.61
1048,2025-02-17,Watch,Fashion,West,4,33098,19,1,107237.52
1049,2025-02-18,Mobile,Accessories,South,8,30461,38,2,151086.56
1050,2025-02-19,Shoes,Fashion,East,9,13102,11,5,104947.02
1051,2025-02-20,Shoes,Accessories,South,4,9756,16,4,32780.16
1052,2025-02-21,Shoes,Fashion,South,5,21084,29,3,74848.2
1053,2025-02-22,Shoes,Accessories,South,8,47480,28,1,273484.8
1054,2025-02-23,Watch,Electronics,North,6,35181,18,5,173090.52
1055,2025-02-24,Headphones,Accessories,North,7,26292,10,4,165639.6
1056,2025-02-25,Laptop,Accessories,East,3,22404,33,5,45032.04
1057,2025-02-26,Shoes,Accessories,East,7,43861,6,1,288605.38
1058,2025-02-27,Mobile,Accessories,North,8,35040,33,3,187814.4
1059,2025-02-28,Shoes,Fashion,East,6,27036,19,5,131394.96
1060,2025-03-01,Mobile,Electronics,North,9,19664,37,2,111494.88
1061,2025-03-02,Mobile,Accessories,West,6,13496,23,4,62351.520000000004
1062,2025-03-03,Shoes,Fashion,South,9,3371,9,5,27608.489999999998
1063,2025-03-04,Watch,Electronics,South,4,46502,31,4,128345.51999999999
1064,2025-03-05,Mobile,Electronics,East,8,23126,14,2,159106.88
1065,2025-03-06,Mobile,Electronics,North,4,11021,36,3,28213.760000000002
1066,2025-03-07,Shoes,Electronics,North,2,43910,19,3,71134.2
1067,2025-03-08,Mobile,Accessories,East,9,1632,2,2,14394.24
1068,2025-03-09,Mobile,Accessories,North,5,33967,36,4,108694.4
1069,2025-03-10,Shoes,Fashion,West,4,15034,39,5,36682.96
1070,2025-03-11,Shoes,Fashion,South,2,24354,7,2,45298.44
1071,2025-03-12,Laptop,Fashion,East,1,43498,39,1,26533.78
1072,2025-03-13,Watch,Electronics,East,7,39565,22,4,216024.9
1073,2025-03-14,Watch,Electronics,North,6,46107,39,3,168751.62
1074,2025-03-15,Mobile,Accessories,East,2,8312,10,2,14961.6
1075,2025-03-16,Watch,Electronics,West,8,5057,7,3,37624.08
1076,2025-03-17,Mobile,Electronics,North,4,2679,28,4,7715.52
1077,2025-03-18,Laptop,Electronics,North,8,44298,29,3,251612.64
1078,2025-03-19,Shoes,Fashion,North,7,9565,9,2,60929.05
